model,fold,auroc
rf_perm,0,0.5407986111111112
rf_perm,1,0.46368634259259256
rf_perm,2,0.5441261574074074
rf_perm,3,0.4622395833333333
rf_perm,4,0.5460069444444444
rf_perm,5,0.4994212962962963
rf_perm,6,0.5163483796296295
rf_perm,7,0.49826388888888895
rf_perm,8,0.6017071759259258
rf_perm,9,0.5151909722222223
rf_perm,10,0.4891493055555555
rf_perm,11,0.4756944444444444
rf_perm,12,0.4839409722222222
rf_perm,13,0.46860532407407407
rf_perm,14,0.42361111111111116
rf_perm,15,0.4742476851851852
rf_perm,16,0.521701388888889
rf_perm,17,0.5264756944444444
rf_perm,18,0.5138888888888888
rf_perm,19,0.3763020833333333
rf_perm,20,0.5027488425925926
rf_perm,21,0.5212673611111112
rf_perm,22,0.5905671296296297
rf_perm,23,0.5708912037037037
rf_perm,24,0.42910879629629634
rf_perm,25,0.5125868055555556
rf_perm,26,0.5481770833333334
rf_perm,27,0.46889467592592593
rf_perm,28,0.47858796296296297
rf_perm,29,0.38266782407407407
rf_perm,30,0.5726273148148148
rf_perm,31,0.5121527777777778
rf_perm,32,0.5363136574074073
rf_perm,33,0.5794270833333333
rf_perm,34,0.5426793981481481
rf_perm,35,0.5350115740740741
rf_perm,36,0.48191550925925924
rf_perm,37,0.45601851851851855
rf_perm,38,0.500144675925926
rf_perm,39,0.5146122685185185
rf_perm,40,0.47685185185185186
rf_perm,41,0.5516493055555556
rf_perm,42,0.5250289351851851
rf_perm,43,0.4811921296296296
rf_perm,44,0.4500868055555555
rf_perm,45,0.5399305555555555
rf_perm,46,0.49609375000000006
rf_perm,47,0.4794560185185185
rf_perm,48,0.6296296296296295
rf_perm,49,0.6255787037037036
rf_perm,50,0.4539930555555556
rf_perm,51,0.48321759259259267
rf_perm,52,0.5844907407407407
rf_perm,53,0.42939814814814825
rf_perm,54,0.5355902777777778
rf_perm,55,0.5154803240740741
rf_perm,56,0.5389178240740741
rf_perm,57,0.4578993055555555
rf_perm,58,0.38831018518518523
rf_perm,59,0.46947337962962965
rf_perm,60,0.472800925925926
rf_perm,61,0.48582175925925924
rf_perm,62,0.5425347222222223
rf_perm,63,0.4554398148148148
rf_perm,64,0.5047743055555556
rf_perm,65,0.532986111111111
rf_perm,66,0.48437499999999994
rf_perm,67,0.6289062499999999
rf_perm,68,0.47916666666666663
rf_perm,69,0.5496238425925926
rf_perm,70,0.42418981481481477
rf_perm,71,0.505787037037037
rf_perm,72,0.46035879629629634
rf_perm,73,0.5169270833333334
rf_perm,74,0.4496527777777778
rf_perm,75,0.5104166666666666
rf_perm,76,0.5081018518518519
rf_perm,77,0.5750868055555555
rf_perm,78,0.45341435185185186
rf_perm,79,0.521267361111111
rf_perm,80,0.5177951388888888
rf_perm,81,0.5363136574074074
rf_perm,82,0.4497974537037037
rf_perm,83,0.5743634259259259
rf_perm,84,0.5290798611111112
rf_perm,85,0.44704861111111105
rf_perm,86,0.501880787037037
rf_perm,87,0.3922164351851852
rf_perm,88,0.4908854166666667
rf_perm,89,0.43388310185185186
rf_perm,90,0.5353009259259259
rf_perm,91,0.5697337962962963
rf_perm,92,0.5669849537037036
rf_perm,93,0.4327256944444445
rf_perm,94,0.4800347222222222
rf_perm,95,0.42838541666666663
rf_perm,96,0.4654224537037037
rf_perm,97,0.5522280092592593
rf_perm,98,0.6008391203703703
rf_perm,99,0.5198206018518519
