sex,fold,threshold,auroc,balanced_accuracy,sensitivity,precision,f1
M,0,0.627558,0.8793103448275862,0.7684729064039408,0.9655172413793104,0.8235294117647058,0.8888888888888888
M,1,0.680957,0.8226600985221675,0.7536945812807883,0.7931034482758621,0.8518518518518519,0.8214285714285714
M,2,0.624719,0.7733990147783252,0.7192118226600985,0.7241379310344828,0.84,0.7777777777777778
M,3,0.645095,0.8785714285714286,0.7666666666666666,1.0,0.8,0.8888888888888888
M,4,0.691009,0.8571428571428571,0.7321428571428572,0.8928571428571429,0.8064516129032258,0.847457627118644
F,0,0.700409,0.9821428571428571,0.8839285714285714,0.8928571428571429,0.9615384615384616,0.9259259259259259
F,1,0.624531,0.9876543209876543,0.9259259259259258,0.9629629629629629,0.9629629629629629,0.9629629629629629
F,2,0.612642,0.8724279835390947,0.7222222222222222,1.0,0.84375,0.9152542372881356
F,3,0.754568,0.8703703703703703,0.7638888888888888,0.7777777777777778,0.9130434782608695,0.84
F,4,0.712466,0.6736111111111112,0.4976851851851852,0.37037037037037035,0.7692307692307693,0.5
